name;population;gdp
 acre;880000;15000000
 alagoas;3334000;50000000
 amapá;838000;12000000
 amazonas;4147000;94000000
 bahia;14897000;262000000
 ceará;8843000;143000000
 distrito federal;3124000;227000000
 espírito santo;3963000;113000000
 goiás;7006000;186000000
 maranhão;7082000;89000000
 mato grosso;3491000;130000000
 mato grosso do sul;2786000;96000000
 minas gerais;21174000;556000000
 pará;8598000;147000000
 paraíba;4025000;54000000
 paraná;11440000;410000000
 pernambuco;9564000;172000000
 piauí;3267000;39000000
 rio de janeiro;17272000;666000000
 rio grande do norte;3513000;69000000
 rio grande do sul;11385000;429000000
 rondônia;1784000;27000000
 roraima;629000;10000000
 santa catarina;7158000;265000000
 são paulo;45926000;1930000
 sergipe;2303000;40000000
 tocantins;1580000;28000000
